,ticker,sh_name,buy_date,buy_price,sell_date,sell_price,shares_bought,notional_bought,notional_sold
0,AXP,AMERICAN EXPRESS CO,2013-08-14,70.487648,2013-11-14,76.301682,7093.441392738769,500000.00000000006,541241.5094343906
1,COP,CONOCOPHILLIPS,2013-08-14,57.361557,2013-11-14,63.55888,8716.639264167812,500000.0,554019.8289945303
2,CP,CANADIAN PAC RY LTD,2013-08-14,115.45237,2013-11-14,140.971481,4330.790264418132,500000.00000000006,610517.9174754057
3,CVI,CVR ENERGY INC,2013-08-14,28.293879999999998,2013-11-14,24.337425,17671.66609881713,500000.0,430082.84830500453
4,DELL,DELL INC,2013-08-14,13.72,2013-11-14,13.84,36443.14868804665,500000.0,504373.1778425656
5,DTV,DIRECTV,2013-08-14,61.41,2013-11-14,64.35,8141.996417521576,500000.0,523937.4694675134
6,DVA,DAVITA HEALTHCARE PARTNERS I,2013-08-14,57.299999,2013-11-14,58.689999,8726.003642687672,500000.0,512129.14506333583
7,EEM,ISHARES TR,2013-08-14,36.305775,2013-11-14,37.537094,13771.913696925629,500000.0,516957.6190013849
8,IBM,INTERNATIONAL BUSINESS MACHS,2013-08-14,155.74205,2013-11-14,152.13648999999998,3210.4367446042993,500000.00000000006,488424.57769112446
9,IEP,ICAHN ENTERPRISES LP,2013-08-14,49.667171,2013-11-14,75.680756,10067.011869872757,500000.0,761879.0689729438
10,KO,COCA COLA CO,2013-08-14,33.427959,2013-11-14,34.250285999999996,14957.538987049733,500000.0,512299.9881626036
11,MCO,MOODYS CORP,2013-08-14,60.92675,2013-11-14,69.045723,8206.575929292141,499999.99999999994,566628.9683923727
12,PG,PROCTER & GAMBLE CO,2013-08-14,69.238007,2013-11-14,72.415459,7221.467249916654,500000.0,522945.86555618217
13,PSX,PHILLIPS 66,2013-08-14,51.027145000000004,2013-11-14,58.990398,9798.706159241321,500000.0,578029.5762186969
14,SPY,SPDR S&P 500 ETF TR,2013-08-14,152.141312,2013-11-14,162.423294,3286.4183529585966,500000.0,533790.89434959
15,USB,US BANCORP DEL,2013-08-14,32.903061,2013-11-14,34.283451,15196.154546228996,500000.0,520976.619774069
16,VWO,VANGUARD INTL EQUITY INDEX F,2013-08-14,35.508575,2013-11-14,36.463646000000004,14081.105761073206,500000.0,513448.45576033404
17,WFC,WELLS FARGO & CO NEW,2013-08-14,37.41264,2013-11-14,37.669059999999995,13364.467196113397,500000.0,503426.91667842725
18,WMT,WAL MART STORES INC,2013-08-14,67.077522,2013-11-14,69.430504,7454.061883800657,500000.0,517539.27343946905
19,YHOO,YAHOO INC,2013-08-14,28.05,2013-11-14,35.69,17825.311942959,500000.0,636185.3832442067
20,AAPL,APPLE INC,2013-11-14,69.157845,2014-02-14,71.65699000000001,,,
21,APD,AIR PRODS & CHEMS INC,2013-11-14,87.811844,2014-02-14,95.496201,,,
22,AXP,AMERICAN EXPRESS CO,2013-11-14,76.301682,2014-02-14,83.140488,,,
23,CP,CANADIAN PAC RY LTD,2013-11-14,140.971481,2014-02-14,147.010574,,,
24,CVI,CVR ENERGY INC,2013-11-14,24.337425,2014-02-14,24.343891,,,
25,DTV,DIRECTV,2013-11-14,64.35,2014-02-14,71.89,,,
26,EEM,ISHARES,2013-11-14,37.537094,2014-02-14,36.231758,,,
27,FDML,FEDERAL MOGUL CORP,2013-11-14,20.08,2014-02-14,17.18,,,
28,GM,GENERAL MTRS CO,2013-11-14,31.392313,2014-02-14,29.31308,,,
29,IBM,INTERNATIONAL BUSINESS MACHS,2013-11-14,152.13648999999998,2014-02-14,154.213013,,,
30,IEP,ICAHN ENTERPRISES LP,2013-11-14,75.680756,2014-02-14,73.759056,,,
31,KO,COCA COLA CO,2013-11-14,34.250285999999996,2014-02-14,33.392288,,,
32,NFLX,NETFLIX INC,2013-11-14,48.938572,2014-02-14,62.215714,,,
33,PG,PROCTER & GAMBLE CO,2013-11-14,72.415459,2014-02-14,68.705505,,,
34,SPY,SPDR S&P 500 ETF TR,2013-11-14,162.423294,2014-02-14,167.632324,,,
35,USB,US BANCORP DEL,2013-11-14,34.283451,2014-02-14,36.739944,,,
36,VWO,VANGUARD INTL EQUITY INDEX F,2013-11-14,36.463646000000004,2014-02-14,35.029835,,,
37,WFC,WELLS FARGO & CO NEW,2013-11-14,37.669059999999995,2014-02-14,40.598663,,,
38,WMT,WAL MART STORES INC,2013-11-14,69.430504,2014-02-14,66.929314,,,
39,XOM,EXXON MOBIL CORP,2013-11-14,79.097527,2014-02-14,80.41828199999999,,,
40,AAPL,APPLE INC,2014-02-14,71.65699000000001,2014-05-15,77.99543800000001,,,
41,APD,AIR PRODS & CHEMS INC,2014-02-14,95.496201,2014-05-15,95.84434499999999,,,
42,AXP,AMERICAN EXPRESS CO,2014-02-14,83.140488,2014-05-15,82.03961899999999,,,
43,CVI,CVR ENERGY INC,2014-02-14,24.343891,2014-05-15,31.132887,,,
44,EEM,ISHARES,2014-02-14,36.231758,2014-05-15,38.716637,,,
45,GM,GENERAL MTRS CO,2014-02-14,29.31308,2014-05-15,28.265364,,,
46,IBM,INTERNATIONAL BUSINESS MACHS,2014-02-14,154.213013,2014-05-15,157.44988999999998,,,
47,IEP,ICAHN ENTERPRISES LP,2014-02-14,73.759056,2014-05-15,67.175255,,,
48,JPM,JPMORGAN CHASE & CO,2014-02-14,51.587677,2014-05-15,47.7705,,,
49,KO,COCA COLA CO,2014-02-14,33.392288,2014-05-15,35.031498,,,
