,manager,filing_date,report_date,sh_name,sh_class,cusip,val1000,share_count,share_or_prin,discretion,sole_vote_amt,shared_vote_amt
0,"PDT Partners, LLC",2018-08-14,2018-06-30,AAC HLDGS INC,COM,000307108,406,43300,SH,SOLE,43300,0
1,"PDT Partners, LLC",2018-08-14,2018-06-30,ACCO BRANDS CORP,COM,00081T108,784,56598,SH,SOLE,56598,0
2,"PDT Partners, LLC",2018-08-14,2018-06-30,AK STL HLDG CORP,COM,001547108,15899,3663300,SH,SOLE,3663300,0
3,"PDT Partners, LLC",2018-08-14,2018-06-30,ACADIA PHARMACEUTICALS INC,COM,004225108,10407,681500,SH,SOLE,681500,0
4,"PDT Partners, LLC",2018-08-14,2018-06-30,ACCURAY INC,COM,004397105,246,59900,SH,SOLE,59900,0
5,"PDT Partners, LLC",2018-08-14,2018-06-30,ACHILLION PHARMACEUTICALS IN,COM,00448Q201,419,147900,SH,SOLE,147900,0
6,"PDT Partners, LLC",2018-08-14,2018-06-30,ACI WORLDWIDE INC,COM,004498101,1643,66613,SH,SOLE,66613,0
7,"PDT Partners, LLC",2018-08-14,2018-06-30,ACXIOM CORP,COM,005125109,1094,36532,SH,SOLE,36532,0
8,"PDT Partners, LLC",2018-08-14,2018-06-30,ADTRAN INC,COM,00738A106,168,11319,SH,SOLE,11319,0
9,"PDT Partners, LLC",2018-08-14,2018-06-30,ADURO BIOTECH INC,COM,00739L101,120,17133,SH,SOLE,17133,0
10,"PDT Partners, LLC",2018-08-14,2018-06-30,ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,1111,209598,SH,SOLE,209598,0
11,"PDT Partners, LLC",2018-08-14,2018-06-30,AEROHIVE NETWORKS INC,COM,007786106,387,97603,SH,SOLE,97603,0
12,"PDT Partners, LLC",2018-08-14,2018-06-30,ADVANCED DRAIN SYS INC DEL,COM,00790R104,2690,94230,SH,SOLE,94230,0
13,"PDT Partners, LLC",2018-08-14,2018-06-30,ADVANCED ENERGY INDS,COM,007973100,8919,153542,SH,SOLE,153542,0
14,"PDT Partners, LLC",2018-08-14,2018-06-30,AGIOS PHARMACEUTICALS INC,COM,00847X104,5576,66200,SH,SOLE,66200,0
15,"PDT Partners, LLC",2018-08-14,2018-06-30,ALARM COM HLDGS INC,COM,011642105,6416,158900,SH,SOLE,158900,0
16,"PDT Partners, LLC",2018-08-14,2018-06-30,ALDER BIOPHARMACEUTICALS INC,COM,014339105,1962,124177,SH,SOLE,124177,0
17,"PDT Partners, LLC",2018-08-14,2018-06-30,ALLIANT ENERGY CORP,COM,018802108,11837,279710,SH,SOLE,279710,0
