,manager,filing_date,report_date,sh_name,sh_class,cusip,val1000,share_count,share_or_prin,discretion,sole_vote_amt,shared_vote_amt
0,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,AMERICAN AIRLS GROUP INC,COM,02376R102,787366,20742000,SH,DFND,20742000,0
1,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,AMERICAN AIRLS GROUP INC,COM,02376R102,871190,22950200,SH,DFND,22950200,0
2,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,AMERICAN AIRLS GROUP INC,COM,02376R102,38256,1007800,SH,DFND,1007800,0
3,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,AMERICAN EXPRESS CO,COM,025816109,191310,1952142,SH,DFND,1952142,0
4,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,AMERICAN EXPRESS CO,COM,025816109,1688089,17225400,SH,DFND,17225400,0
5,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,AMERICAN EXPRESS CO,COM,025816109,82304,839832,SH,DFND,839832,0
6,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,AMERICAN EXPRESS CO,COM,025816109,201596,2057100,SH,DFND,2057100,0
7,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,AMERICAN EXPRESS CO,COM,025816109,783474,7994634,SH,DFND,7994634,0
8,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,AMERICAN EXPRESS CO,COM,025816109,11773904,120141879,SH,DFND,120141879,0
9,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,AMERICAN EXPRESS CO,COM,025816109,137172,1399713,SH,DFND,1399713,0
10,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,APPLE INC,COM,037833100,656725,3547753,SH,DFND,3547753,0
11,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,APPLE INC,COM,037833100,177706,960000,SH,DFND,960000,0
12,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,APPLE INC,COM,037833100,1122692,6065000,SH,DFND,6065000,0
13,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,APPLE INC,COM,037833100,3268487,17657000,SH,DFND,17657000,0
14,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,APPLE INC,COM,037833100,126060,681000,SH,DFND,681000,0
15,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,APPLE INC,COM,037833100,2848056,15385747,SH,DFND,15385747,0
16,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,APPLE INC,COM,037833100,562364,3038000,SH,DFND,3038000,0
17,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,APPLE INC,COM,037833100,2524900,13640000,SH,DFND,13640000,0
18,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,APPLE INC,COM,037833100,35052314,189359377,SH,DFND,189359377,0
19,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,APPLE INC,COM,037833100,125505,678000,SH,DFND,678000,0
20,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,APPLE INC,COM,037833100,174744,944000,SH,DFND,944000,0
21,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK AMER CORP,COM,060505104,173650,6160000,SH,DFND,6160000,0
22,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK AMER CORP,COM,060505104,335461,11900000,SH,DFND,11900000,0
23,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK AMER CORP,COM,060505104,3946600,140000000,SH,DFND,140000000,0
24,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK AMER CORP,COM,060505104,157864,5600000,SH,DFND,5600000,0
25,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK AMER CORP,COM,060505104,59199,2100000,SH,DFND,2100000,0
26,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK AMER CORP,COM,060505104,8789078,311780000,SH,DFND,311780000,0
27,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK AMER CORP,COM,060505104,15786,560000,SH,DFND,560000,0
28,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK AMER CORP,COM,060505104,4597789,163100000,SH,DFND,163100000,0
29,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK AMER CORP,COM,060505104,789320,28000000,SH,DFND,28000000,0
30,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK AMER CORP,COM,060505104,276262,9800000,SH,DFND,9800000,0
31,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK OF NEW YORK MELLON CORP,COM,064058100,405082,7511249,SH,DFND,7511249,0
32,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK OF NEW YORK MELLON CORP,COM,064058100,115842,2148000,SH,DFND,2148000,0
33,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK OF NEW YORK MELLON CORP,COM,064058100,96746,1793915,SH,DFND,1793915,0
34,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK OF NEW YORK MELLON CORP,COM,064058100,24646,457000,SH,DFND,457000,0
35,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK OF NEW YORK MELLON CORP,COM,064058100,41850,776000,SH,DFND,776000,0
36,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK OF NEW YORK MELLON CORP,COM,064058100,350026,6490384,SH,DFND,6490384,0
37,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK OF NEW YORK MELLON CORP,COM,064058100,394714,7319000,SH,DFND,7319000,0
38,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK OF NEW YORK MELLON CORP,COM,064058100,207871,3854463,SH,DFND,3854463,0
39,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK OF NEW YORK MELLON CORP,COM,064058100,1742498,32310365,SH,DFND,32310365,0
40,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,BANK OF NEW YORK MELLON CORP,COM,064058100,115410,2140000,SH,DFND,2140000,0
41,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,CHARTER COMMUNICATIONS INC N,CL A,16119P108,209684,715131,SH,DFND,715131,0
42,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,CHARTER COMMUNICATIONS INC N,CL A,16119P108,1990619,6789054,SH,DFND,6789054,0
43,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,COCA COLA CO,COM,191216100,35088,800000,SH,DFND,800000,0
44,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,COCA COLA CO,COM,191216100,3521221,80283200,SH,DFND,80283200,0
45,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,COCA COLA CO,COM,191216100,80001,1824000,SH,DFND,1824000,0
46,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,COCA COLA CO,COM,191216100,632075,14411200,SH,DFND,14411200,0
47,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,COCA COLA CO,COM,191216100,657479,14990400,SH,DFND,14990400,0
48,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,COCA COLA CO,COM,191216100,12420240,283179200,SH,DFND,283179200,0
49,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,COCA COLA CO,COM,191216100,155791,3552000,SH,DFND,3552000,0
50,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,COCA COLA CO,COM,191216100,42106,960000,SH,DFND,960000,0
51,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,COSTCO WHSL CORP NEW,COM,22160K105,905586,4333363,SH,DFND,4333363,0
52,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1392417,20052088,SH,DFND,20052088,0
53,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1285576,18513482,SH,DFND,18513482,0
54,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,DELTA AIR LINES INC DEL,COM NEW,247361702,346439,6993123,SH,DFND,6993123,0
55,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,DELTA AIR LINES INC DEL,COM NEW,247361702,2807566,56672717,SH,DFND,56672717,0
56,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,GENERAL MTRS CO,COM,37045V100,270539,6866464,SH,DFND,6866464,0
57,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,GENERAL MTRS CO,COM,37045V100,980556,24887209,SH,DFND,24887209,0
58,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,GENERAL MTRS CO,COM,37045V100,331052,8402338,SH,DFND,8402338,0
59,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,GENERAL MTRS CO,COM,37045V100,442761,11237600,SH,DFND,11237600,0
60,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,GOLDMAN SACHS GROUP INC,COM,38141G104,965207,4375968,SH,DFND,4375968,0
61,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,GOLDMAN SACHS GROUP INC,COM,38141G104,1958336,8878522,SH,DFND,8878522,0
62,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,JOHNSON & JOHNSON,COM,478160104,39690,327100,SH,DFND,327100,0
63,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,KRAFT HEINZ CO,COM,500754106,20456379,325634818,SH,DFND,325634818,0
64,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,194081,4308117,SH,DFND,4308117,0
65,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,351020,7791780,SH,DFND,7791780,0
66,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,42049,933391,SH,DFND,933391,0
67,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,82310,1827072,SH,DFND,1827072,0
68,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,324461,7153027,SH,DFND,7153027,0
69,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,878166,19359910,SH,DFND,19359910,0
70,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,23073,508654,SH,DFND,508654,0
71,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,184588,4069394,SH,DFND,4069394,0
72,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,M & T BK CORP,COM,55261F104,92902,546000,SH,DFND,546000,0
73,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,M & T BK CORP,COM,55261F104,28040,164795,SH,DFND,164795,0
74,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,M & T BK CORP,COM,55261F104,794812,4671245,SH,DFND,4671245,0
75,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,MASTERCARD INC,CL A,57636Q104,969778,4934756,SH,DFND,4934756,0
76,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,MONDELEZ INTL INC,CL A,609207105,23698,578000,SH,DFND,578000,0
77,BERKSHIRE HATHAWAY INC,2018-08-14,2018-06-30,MOODYS CORP,COM,615369105,2042273,11973928,SH,DFND,11973928,0
