report_date,cusip,sh_name,val1000,ticker,buy_date,date,price
12/31/2015,G0177J108,ALLERGAN PLC,4706704,AGN,2/15/2016,2/15/2016,304.51
6/30/2015,25490A309,DIRECTV,4779892,DTV,8/14/2015,8/14/2015,93.55
3/31/2015,25490A309,DIRECTV,3891948,DTV,5/15/2015,5/15/2015,91.46
12/31/2014,25490A309,DIRECTV,3951832,DTV,2/16/2015,2/16/2015,87.51
9/30/2014,25490A309,DIRECTV,3697653,DTV,11/14/2014,11/14/2014,87.55
9/30/2014,260543103,DOW CHEM CO,3539742,DWDP,11/14/2014,11/14/2014,45.4292
6/30/2016,268648102,E M C CORP MASS,4264695,EMC,8/15/2016,8/15/2016,28.47
3/31/2016,268648102,E M C CORP MASS,3939809,EMC,5/16/2016,5/16/2016,27.78
12/31/2017,02079K107,ALPHABET INC,4300285,GOOG,2/14/2018,2/14/2018,"1,069.70"
6/30/2018,451100101,ICAHN ENTERPRISES LP,11826854,IEP,8/14/2018,8/14/2018,78.79
3/31/2018,451100101,ICAHN ENTERPRISES LP,9007801,IEP,5/15/2018,5/15/2018,66.93
12/31/2017,451100101,ICAHN ENTERPRISES LP,8369991,IEP,2/14/2018,2/14/2018,56
9/30/2017,451100101,ICAHN ENTERPRISES LP,8420874,IEP,11/14/2017,11/14/2017,52.87
6/30/2017,451100101,ICAHN ENTERPRISES LP,7712502,IEP,8/14/2017,8/14/2017,52.21
3/31/2017,451100101,ICAHN ENTERPRISES LP,7201477,IEP,5/15/2017,5/15/2017,51.61
12/31/2016,451100101,ICAHN ENTERPRISES LP,7791664,IEP,2/14/2017,2/14/2017,56.46
9/30/2016,451100101,ICAHN ENTERPRISES LP,6425167,IEP,11/14/2016,11/14/2016,57
6/30/2016,451100101,ICAHN ENTERPRISES LP,6672168,IEP,8/15/2016,8/15/2016,59.17
3/31/2016,451100101,ICAHN ENTERPRISES LP,7422606,IEP,5/16/2016,5/16/2016,52.75
12/31/2015,451100101,ICAHN ENTERPRISES LP,7174664,IEP,2/15/2016,2/15/2016,47
9/30/2015,451100101,ICAHN ENTERPRISES LP,7677234,IEP,11/16/2015,11/16/2015,71.09
6/30/2015,451100101,ICAHN ENTERPRISES LP,9737477,IEP,8/14/2015,8/14/2015,73.43
12/31/2014,451100101,ICAHN ENTERPRISES LP,10062256,IEP,2/16/2015,2/16/2015,100.21
9/30/2014,451100101,ICAHN ENTERPRISES LP,11347389,IEP,11/14/2014,11/14/2014,105.31
6/30/2014,451100101,ICAHN ENTERPRISES LP,10552492,IEP,8/14/2014,8/14/2014,106.5
3/31/2014,451100101,ICAHN ENTERPRISES LP,10566566,IEP,5/15/2014,5/15/2014,99.61
12/31/2013,451100101,ICAHN ENTERPRISES LP,11145915,IEP,2/14/2014,2/14/2014,112.46
9/30/2013,451100101,ICAHN ENTERPRISES LP,8363340,IEP,11/14/2013,11/14/2013,115.388
6/30/2013,451100101,ICAHN ENTERPRISES LP,7219791,IEP,8/14/2013,8/14/2013,76.56
6/30/2018,464287655,ISHARES TR,4514721,IWM,8/14/2018,8/14/2018,168.2
3/31/2018,464287655,ISHARES TR,4419170,IWM,5/15/2018,5/15/2018,159.26
9/30/2017,741503403,PRICELINE GRP INC,4199291,PCLN,11/14/2017,11/14/2017,1719.5
6/30/2017,741503403,PRICELINE GRP INC,4338274,PCLN,8/14/2017,8/14/2017,1873.95
3/31/2017,741503403,PRICELINE GRP INC,4007073,PCLN,5/15/2017,5/15/2017,1813.81
12/31/2016,741503403,PRICELINE GRP INC,3704189,PCLN,2/14/2017,2/14/2017,1637.29
6/30/2018,4.61E+107,INVESCO QQQ TR,8792866,QQQ,8/14/2018,8/14/2018,181.45
3/31/2018,73935A104,POWERSHARES QQQ TRUST,9494668,QQQ,5/15/2018,5/15/2018,167.87
12/31/2017,73935A104,POWERSHARES QQQ TRUST,5140654,QQQ,2/14/2018,2/14/2018,162.68
6/30/2017,73935A104,POWERSHARES QQQ TRUST,4330193,QQQ,8/14/2017,8/14/2017,143.93
3/31/2017,73935A104,POWERSHARES QQQ TRUST,4444607,QQQ,5/15/2017,5/15/2017,139.04
12/31/2016,73935A104,POWERSHARES QQQ TRUST,3755022,QQQ,2/14/2017,2/14/2017,128.53
9/30/2014,78462F103,SPDR S&P 500 ETF TR,3857050,SPY,11/14/2014,11/14/2014,204.24
6/30/2014,78462F103,SPDR S&P 500 ETF TR,4048758,SPY,8/14/2014,8/14/2014,195.76
3/31/2014,78462F103,SPDR S&P 500 ETF TR,3782811,SPY,5/15/2014,5/15/2014,187.4
12/31/2013,78462F103,SPDR S&P 500 ETF TR,3661003,SPY,2/14/2014,2/14/2014,184.02
9/30/2013,78462F103,SPDR S&P 500 ETF TR,4144194,SPY,11/14/2013,11/14/2013,179.27
6/30/2013,78462F103,SPDR S&P 500 ETF TR,3179348,SPY,8/14/2013,8/14/2013,168.74
