report_date,cusip,sh_name,val1000,QRM_TICKER,lagged_report_date,price
2014-12-31,137833100,APPLE INC,5823743,aapl.q,2015-02-17,127.759994507
2015-03-31,137833100,APPLE INC,6565033,aapl.q,2015-05-15,128.755004883
2015-06-30,137833100,APPLE INC,6617582,aapl.q,2015-08-14,115.964996338
2015-06-30,78462F953,SPDR S&P 500 ETF TRUST,6209741,spy.p,2015-08-14,
2015-09-30,78462F953,SPDR S&P 500 ETF TRUST,6816831,spy.p,2015-11-16,
2015-09-30,78462F903,SPDR S&P 500 ETF TRUST,4878679,spy.p,2015-11-16,
2015-12-31,78462F953,SPDR S&P 500 ETF TRUST,4764818,spy.p,2016-02-16,
2016-03-31,78462F953,SPDR S&P 500 ETF TRUST,6500865,spy.p,2016-05-16,
2016-06-30,78462F953,SPDR S&P 500 ETF TRUST,8296413,spy.p,2016-08-15,
2016-06-30,78462F903,SPDR S&P 500 ETF TRUST,5484435,spy.p,2016-08-15,
2013-06-30,949746101,WELLS FARGO & CO NEW,19599030,wfc.n,2013-08-14,43.1049995422
2013-06-30,191216100,COCA COLA CO,16721876,ko.n,2013-08-14,39.5349998474
2013-06-30,459200101,INTERNATIONAL BUSINESS MACHS,13557442,ibm.n,2013-08-14,187.529998779
2013-06-30,025816109,AMERICAN EXPRESS CO,11452604,axp.n,2013-08-14,75.8950042725
2013-06-30,451100101,ICAHN ENTERPRISES LP,7219791,iep.q,2013-08-14,76.2850036621
2013-06-30,742718109,PROCTER & GAMBLE CO,6954607,pg.n,2013-08-14,81.2449951172
2013-06-30,922042858,VANGUARD INTL EQUITY INDEX F,3848038,vwo.p,2013-08-14,
2013-06-30,931142103,WAL MART STORES INC,3668426,wmt.n,2013-08-14,76.3699951172
2013-06-30,12662P108,CVR ENERGY INC,3416439,cvi.n,2013-08-14,44.6650009155
2013-06-30,78462F103,SPDR S&P 500 ETF TR,3179348,spy.p,2013-08-14,
2013-06-30,464287234,ISHARES TR,3143982,eem.p,2013-08-14,
2013-06-30,902973304,US BANCORP DEL,3000228,usb.n,2013-08-14,36.9850006104
2013-06-30,13645T100,CANADIAN PAC RY LTD,2957935,cp.n,2013-08-14,122.375
2013-06-30,24702R101,DELL INC,2450000,dell.q,2013-08-14,13.7250003815
2013-06-30,25490A309,DIRECTV,2355000,dtv.q,2013-08-14,61.4449996948
2013-06-30,984332106,YAHOO INC,1978203,yhoo.q,2013-08-14,28.0550003052
2013-06-30,23918K108,DAVITA HEALTHCARE PARTNERS I,1836121,dva.n,2013-08-14,114.584999084
2013-06-30,718546104,PHILLIPS 66,1793172,psx.n,2013-08-14,58.7649993896
2013-06-30,615369105,MOODYS CORP,1592970,mco.n,2013-08-14,65.4949951172
2013-06-30,20825C104,CONOCOPHILLIPS,1511450,cop.n,2013-08-14,67.1549987793
2013-09-30,949746101,WELLS FARGO & CO NEW,19769563,wfc.n,2013-11-14,43.0849990845
2013-09-30,191216100,COCA COLA CO,15814164,ko.n,2013-11-14,40.2150001526
2013-09-30,459200101,INTERNATIONAL BUSINESS MACHS,13042097,ibm.n,2013-11-14,182.270004272
2013-09-30,025816109,AMERICAN EXPRESS CO,11558516,axp.n,2013-11-14,81.8849945068
2013-09-30,451100101,ICAHN ENTERPRISES LP,8363340,iep.q,2013-11-14,115.430000305
2013-09-30,742718109,PROCTER & GAMBLE CO,6479097,pg.n,2013-11-14,84.3150024414
2013-09-30,30231G102,EXXON MOBIL CORP,4204522,xom.n,2013-11-14,93.2149963379
2013-09-30,78462F103,SPDR S&P 500 ETF TR,4144194,spy.p,2013-11-14,
2013-09-30,922042858,VANGUARD INTL EQUITY INDEX F,4077763,vwo.p,2013-11-14,
2013-09-30,931142103,WAL MART STORES INC,3642325,wmt.n,2013-11-14,79.0950012207
2013-09-30,464287234,ISHARES,3019285,eem.p,2013-11-14,
2013-09-30,902973304,US BANCORP DEL,2992824,usb.n,2013-11-14,38.2849998474
2013-09-30,13645T100,CANADIAN PAC RY LTD,2973301,cp.n,2013-11-14,148.955001831
2013-09-30,12662P108,CVR ENERGY INC,2771564,cvi.n,2013-11-14,37.6599998474
2013-09-30,037833100,APPLE INC,2753258,aapl.q,2013-11-14,528.270019531
2013-09-30,009158106,AIR PRODS & CHEMS INC,2223424,apd.n,2013-11-14,108.665000916
2013-09-30,25490A309,DIRECTV,2211820,dtv.q,2013-11-14,64.3549957275
2013-09-30,313549404,FEDERAL MOGUL CORP,2035891,fdml.q,2013-11-14,20.0699996948
2013-09-30,64110L106,NETFLIX INC,2010850,nflx.q,2013-11-14,342.619995117
2013-09-30,37045V100,GENERAL MTRS CO,1843614,gm.n,2013-11-14,38.5049972534
2013-12-31,949746101,WELLS FARGO & CO NEW,24105206,wfc.n,2014-02-14,46.1450004578
2013-12-31,191216100,COCA COLA CO,17731583,ko.n,2014-02-14,38.9349975586
2013-12-31,025816109,AMERICAN EXPRESS CO,14227835,axp.n,2014-02-14,88.9949951172
2013-12-31,459200101,INTERNATIONAL BUSINESS MACHS,14149473,ibm.n,2014-02-14,183.695007324
2013-12-31,451100101,ICAHN ENTERPRISES LP,11145915,iep.q,2014-02-14,112.459999084
2013-12-31,30231G102,EXXON MOBIL CORP,6692569,xom.n,2014-02-14,94.125
2013-12-31,037833100,APPLE INC,6451807,aapl.q,2014-02-14,543.915039062
2013-12-31,742718109,PROCTER & GAMBLE CO,5583516,pg.n,2014-02-14,79.3950042725
2013-12-31,58933Y105,MERCK & CO INC NEW,4346940,mrk.n,2014-02-14,55.4349975586
2013-12-31,922042858,VANGUARD INTL EQUITY INDEX F,4278088,vwo.p,2014-02-14,
2013-12-31,931142103,WAL MART STORES INC,3893875,wmt.n,2014-02-14,75.7949981689
2013-12-31,594918104,MICROSOFT CORP,3779663,msft.q,2014-02-14,37.6149978638
2013-12-31,46625H100,JPMORGAN CHASE & CO,3664067,jpm.n,2014-02-14,58.1549987793
2013-12-31,78462F103,SPDR S&P 500 ETF TR,3661003,spy.p,2014-02-14,
2013-12-31,902973304,US BANCORP DEL,3333302,usb.n,2014-02-14,40.7849998474
2013-12-31,464287234,ISHARES,3305315,eem.p,2014-02-14,
2013-12-31,009158106,AIR PRODS & CHEMS INC,3221193,apd.n,2014-02-14,117.425003052
2013-12-31,717081103,PFIZER INC,3144160,pfe.n,2014-02-14,31.9350013733
2013-12-31,12662P108,CVR ENERGY INC,3108198,cvi.n,2014-02-14,37.6500015259
2013-12-31,37045V100,GENERAL MTRS CO,3017722,gm.n,2014-02-14,35.9449996948
2014-03-31,949746101,WELLS FARGO & CO NEW,26054322,wfc.n,2014-05-15,48.9950027466
2014-03-31,191216100,COCA COLA CO,16432005,ko.n,2014-05-15,40.5049972534
2014-03-31,459200101,INTERNATIONAL BUSINESS MACHS,14515190,ibm.n,2014-05-15,186.399993896
2014-03-31,025816109,AMERICAN EXPRESS CO,14075034,axp.n,2014-05-15,87.6049957275
2014-03-31,451100101,ICAHN ENTERPRISES LP,10566566,iep.q,2014-05-15,99.6100006104
2014-03-31,037833100,APPLE INC,7460756,aapl.q,2014-05-15,588.924987793
2014-03-31,30231G102,EXXON MOBIL CORP,6470651,xom.n,2014-05-15,100.76499939
2014-03-31,742718109,PROCTER & GAMBLE CO,5493751,pg.n,2014-05-15,80.5350036621
2014-03-31,58933Y105,MERCK & CO INC NEW,4675088,mrk.n,2014-05-15,55.9049987793
2014-03-31,931142103,WAL MART STORES INC,4436946,wmt.n,2014-05-15,76.8050003052
2014-03-31,922042858,VANGUARD INTL EQUITY INDEX F,4281761,vwo.p,2014-05-15,
2014-03-31,594918104,MICROSOFT CORP,4202549,msft.q,2014-05-15,39.6049995422
2014-03-31,345838106,FOREST LABS INC,4013345,frx.n,2014-05-15,92.5699996948
2014-03-31,78462F103,SPDR S&P 500 ETF TR,3782811,spy.p,2014-05-15,
2014-03-31,46625H100,JPMORGAN CHASE & CO,3528734,jpm.n,2014-05-15,53.5149993896
2014-03-31,009158106,AIR PRODS & CHEMS INC,3527292,apd.n,2014-05-15,116.98500061
2014-03-31,902973304,US BANCORP DEL,3503226,usb.n,2014-05-15,40.5750007629
2014-03-31,717081103,PFIZER INC,3399469,pfe.n,2014-05-15,29.0649986267
2014-03-31,585055106,MEDTRONIC INC,3048603,mdt.n,2014-05-15,59.9150009155
2014-03-31,12662P108,CVR ENERGY INC,3030444,cvi.n,2014-05-15,46.5800018311
2014-06-30,949746101,WELLS FARGO & CO NEW,27650543,wfc.n,2014-08-14,50.3649978638
2014-06-30,191216100,COCA COLA CO,17938348,ko.n,2014-08-14,40.1849975586
2014-06-30,025816109,AMERICAN EXPRESS CO,14770949,axp.n,2014-08-14,87.2649993896
2014-06-30,459200101,INTERNATIONAL BUSINESS MACHS,13957721,ibm.n,2014-08-14,187.865005493
2014-06-30,451100101,ICAHN ENTERPRISES LP,10552492,iep.q,2014-08-14,106.539993286
2014-06-30,037833100,APPLE INC,9073138,aapl.q,2014-08-14,97.4949951172
2014-06-30,436440101,HOLOGIC INC,6908410,holx.q,2014-08-14,26.2849998474
2014-06-30,30231G102,EXXON MOBIL CORP,6466202,xom.n,2014-08-14,99.0849990845
2014-06-30,018490102,ALLERGAN INC,6138434,agn.n,2014-08-14,155.635009766
2014-06-30,742718109,PROCTER & GAMBLE CO,5343890,pg.n,2014-08-14,81.9449996948
2014-06-30,58933Y105,MERCK & CO INC NEW,4819327,mrk.n,2014-08-14,58.7849998474
2014-06-30,922042858,VANGUARD INTL EQUITY INDEX F,4772561,vwo.p,2014-08-14,
2014-06-30,594918104,MICROSOFT CORP,4722688,msft.q,2014-08-14,44.2750015259
2014-06-30,931142103,WAL MART STORES INC,4413910,wmt.n,2014-08-14,74.3650054932
2014-06-30,78462F103,SPDR S&P 500 ETF TR,4048758,spy.p,2014-08-14,
2014-06-30,009158106,AIR PRODS & CHEMS INC,3809152,apd.n,2014-08-14,132.544998169
