,cusip,tickers
0,949746101,WFC
1,500754106,KHC
2,191216100,KO
3,459200101,IBM
4,025816109,AXP
5,037833100,AAPL
6,451100101,IEP
7,78462F953,SPY
8,594918104,MSFT
9,742718109,PG
10,78462F903,SPY
11,718546104,PSX
12,902973304,USB
13,009158106,APD
14,91911K102,VRX
15,00206R102,T
16,031162100,AMGN
17,931142103,WMT
18,713448108,PEP
19,717081103,PFE
20,137833100,AAPL
21,25490A309,DTV
22,922042858,VWO
23,278642103,EBAY
24,37045V100,GM
25,026874784,AIG
26,G0177J108,AGN
27,023135106,AMZN
28,G5960L103,MDT
29,018490102,AGN
30,58933Y105,MRK
31,78462F103,SPY
32,16119P108,CHTR
33,268648102,EMC
34,46625H100,JPM
35,23918K108,DVA
36,166764100,CVX
37,071813109,BAX
38,060505104,BAC
39,46090E103,QQQ
40,30303M102,FB
41,02079K305,GOOGL
42,01609W102,BABA
43,64110L106,NFLX
44,09857L108,BKNG
45,464287655,IWM
46,73935A104,QQQ
47,38141G104,GS
48,741503403,PCLN
49,247361702,DAL
50,369604103,GE
51,02079K107,GOOG
52,436440101,HOLX
53,30231G102,XOM
54,12662P108,CVI
55,464287234,EEM
56,345838106,FRX
57,585055106,MDT
58,260543103,DWDP
59,13645T100,CP
60,24702R101,DELL
61,984332106,YHOO
62,615369105,MCO
63,20825C104,COP
64,313549404,FDML
